시간	No.	카테고리	문제 전문	정답 키워드	해설 및 암기 팁
11:37	28	전기설비	전선을 기구 단자에 접속할 때 진동 등 진동 등의 영향으로 헐거워질 우려가 있는 경우에 사용하는 것은?	스프링 와셔	진동 등으로 헐거워질 우려가 있을 때 사용하는 것은 스프링 와셔이다.
11:55	29	전기설비	다음 철탑의 사용 목적에 의한 분류에서 서로 인접하는 경간의 길이가 크게 달라서 지나친 불평형 장력이 가해지는 경우 어떤 형의 철탑을 사용해야 되는가?	내장형	지나친 불평형 장력이 가해지는 경우 설로 보강용으로 내장형 철탑을 사용한다.
12:29	30	전기이론	저압 배선 중에 전압 강화는 간선 및 분기회로에서 각각 표준 전압의 몇 % 이하로 하는 것이 원칙인가?	2%	저압 배선 중 전압 강화는 표준 전압의 2% 이하가 원칙이다.
12:38	31	전기기기	네온 검전기를 사용하는 목적은?	충전 유무 조사	네온 검전기는 충전(전압) 유무를 조사하는 데 사용된다.
12:52	32	전기이론	설비 용량이 600kW 부등률이 1.2 수용률이 0.6일 때 합성 최대 전력은?	300kW	합성 최대 전력 = 부등률설비 용량×수용률​. 1.2600kW×0.6​=300kW. (설수 퍼부)
13:23	33	전기설비	경질 비닐 전선관. 경질 비닐 전선관. 한 번의 표준 길이는 몇 미터인가?	4m	경질 비닐 전선관의 표준 길이는 4m이다.
13:35	34	전기설비	사람이 접촉될 우려가 있는 곳에 시설하는 접지극 지하 몇 cm 이상 깊이인가?	75cm	사람 접촉 우려 시 접지극 매설 깊이는 75cm 이상이다.
13:42	35	전기설비	480V 가공 인입선이 철도를 횡단할 때 레일 면상의 최저 높이는?	6.5m	철도 횡단 시 가공 인입선 최저 높이는 레일 면상 6.5m 이상이다.
13:53	36	전기설비	저압 연접 인입선은 인입선에서 분기하는 점으로부터 몇 미터를 넘지 않는 지역의 시설하고 폭은 몇 미터를 넘는 도로를 횡단하지 않아야 되는가?	100m, 5m	저압 연접 인입선: 분기점으로부터 100m 넘지 않고, 폭 5m 넘는 도로 횡단 불가.
14:12	37	전기설비	합성 수지제의 가요 전선관으로 옳게 짝지어진 것은?	PF 전선관과 CD 전선관	합성 수지제 가요 전선관: PF 전선관 (Plastic Flexible Conduit), CD 전선관 (Combined Duct).
14:34	38	전기설비	케이블을 구부리는 경우는 피복이 손상되지 않도록 해야 되고 그 곡률부의 곡률 반경은 원칙적으로 케이블이 단심인 경우 완성품의 외경에 몇 배 이상이어야 하는가?	여덟 배	케이블 곡률 반경: 단심인 경우 외경의 8배 이상. (다심인 경우 6배 이상)
14:52	39	전기설비	애자 사용 공사의 저압 옥내 배선의 전선 상호간 간격은?	6cm	애자 사용 공사 저압 옥내 배선 전선 상호간 간격은 6cm이다. (고압은 8cm)
15:08	40	전기설비	절연 전선을 동일 금속 덕트 내에 넣을 경우 전선 피복 절연물을 포함한 단면적 총합계. (단, 제어 회로 등 배선에 사용하는 전선만을 넣는 경우) 금속 덕트 내 단면적 몇 % 이하되도록 선정하는가?	50%	제어 회로 또는 정광 표시 배선만 넣을 경우 50% 이하이다.
15:33	41	전기설비	고압 전선로에서 사용되는 옥외용 가교 폴리에틸렌 전선의 약호는?	OW	옥외용 가교 폴리에틸렌 절연 전선의 약호는 OW (Outdoor Weather-proof) 또는 OC (Outdoor Cross-linked Polyethylene Insulated Wire) 이다. (해설에서는 OC로 설명)
15:52	42	전기설비	전선의 약호가 CNCV-W인 케이블의 품명은?	동심 중성선 수밀형 전력 케이블	CNCV는 동심 중성선 차수형 전력 케이블, W가 붙으면 수밀형을 의미한다. 동심 중성선 수밀형 전력 케이블이다.
16:38	43	전기이론	500kW 설비 용량을 갖춘 공장에서 정격 전압 3상 24kV, 역률 80%일 때 차단기 정격 전류는?	15A	I=3​VcosθP​. I=3​×24×103×0.8500×103​≈15.02A (15A). (P는 kW를 W로, V는 kV를 V로 변환)
17:46	44	전기설비	굵은 전선을 절단할 때 자를 때 사용하는 전기 공사용 공구는?	클리퍼	굵은 전선을 절단할 때 사용하는 공구는 클리퍼이다.
17:53	45	전기설비	무대나 오케스트라, 박스, 영사실 등 사람이나 무대 도구가 접촉할 우려가 있는 장소에 시설하는 저압 옥내 배선, 전구선 또는 이동 전선은 사용 전압 몇 볼트 미만이어야 하는가?	400V 미만	무대 및 영사실 등의 저압 옥내 배선/이동 전선은 사용 전압 400V 미만으로 시설해야 한다.
18:16	46	전기설비	실내 전체를 균일하게 조명하는 방식으로 광원을 일정 간격으로 배치하여 공장 학교 사무실 등에서 채용되는 조명 방식은?	전반 조명	실내 전체를 균일하게 조명하며 공장, 학교, 사무실 등에 채용되는 방식은 전반 조명이다.
18:31	47	전기기기	다음 심벌의 명칭은? (화살표 상하, 아래 접지 표시 심벌)	피뢰기(LA)	이상 전압을 대지로 방전하고 속류를 차단하는 장치인 피뢰기의 심벌이다.
19:01	48	전기설비	금속 몰드 배선의 사용 전압은?	400V 미만	금속 몰드 배선의 사용 전압은 400V 미만이어야 한다.
19:14	49	전기설비	캡타이어 케이블을 조영제 옆면을 따라 시설하는 경우 지지점간 거리는?	1m	캡타이어 케이블을 조영제 옆면 따라 시설할 때 지지점간 거리는 1m 이하이다.
19:25	50	전기이론	절로 이외의 공간을 흐르는 전류로 절연체 내부 및 표면과 공간을 통과해서 성간 또는 대지 사이 흐르는 전류를 무엇이라 하는가?	누설 전류	절로 이외의 공간을 흐르는 전류는 누설 전류이다.
19:46	51	전기설비	폭발성 분진이 있는 위험 장소다. 금속관 배선에 의할 경우 관 상호 및 관과 박스 기타 부속품이나 풀박스 또는 전기 기계 기구의 나사 조임은 몇 턱 이상으로 접속해야 되는가?	5턱	폭발성 분진 위험 장소에서 금속관 배선 나사 조임은 5턱 이상으로 해야 한다.
20:05	52	전기설비	금속관 공사에서 사용되는 부품이 아닌 것은?	덕트	덕트는 금속관 공사가 아닌 금속 덕트 공사에 사용된다.
20:19	53	전기설비	구리 전선과 전기 기계 기구 단자를 접속하는 경우 진동 등으로 헐거워질 염려 있다. 사용하는 것은?	스프링 와셔	진동 등으로 헐거워질 염려가 있을 때 사용하는 것은 스프링 와셔이다.
20:31	54	전기설비	화약 저장 장소의 배선 공사에서 전용 개폐기에서 화약류 저장소의 인입구까지 어떤 공사해야 되는가?	케이블을 사용한 지중 전설로 공사	화약 저장 장소의 인입구까지는 케이블을 사용한 지중 전설로 공사를 해야 한다.
20:50	55	전기기기	수변전 설비에서 전력 퓨즈의 용단 시 결상을 방지하는 목적으로 사용되는 것은?	부하 개폐기	전력 퓨즈 용단 시 결상을 방지하는 목적으로 사용되는 것은 부하 개폐기이다.
21:14	56	전기설비	합성 수지관 상호 및 관과 박스 접속 시 삽입하는 깊이를 관 바깥 지름에 몇 배 이상으로 해야 되는가? (단, 접착제를 사용하지 않은 경우)	1.2배	합성 수지관 상호 접속 시 접착제를 사용하지 않을 경우 삽입 깊이는 관 바깥 지름의 1.2배 이상이다. (접착제 사용 시 0.8배)
21:46	57	전기설비	합성 수지관 공사에서 관의 지지점간 거리는 몇 미터인가?	1.5m	합성 수지관 공사에서 관의 지지점간 거리는 1.5m 이하이다.
21:52	58	전기설비	터널 갱도 등 이와 유사한 장소에서 사람이 상시 통행하는 터널 내 배선 방법. 적절하지 않은 것은?	라이팅 덕트 배선	터널 갱도 내 배선 방법은 합금캐가요 애자가 적합하며, 라이팅 덕트 배선은 부적절하다.
22:27	59	전기설비	폴리에틸렌 절연 비닐 시스 케이블의 약호는?	EV	폴리에틸렌 절연 (E) 비닐 시스 (V) 케이블의 약호는 EV이다.
22:36	60	전기설비	옥내 시설하는 사용 전압이 400V 이상인 저압의 이동 전선을 캡타이어 케이블로서 시설할 경우 이 단면적은 몇 제곱mm 이상이어야 하는가?	0.75제곱mm	저압 이동 전선에 사용되는 캡타이어 케이블의 단면적은 0.75mm$^2$ 이상이어야 한다.
23:36	61	전기설비	한 수용 장소의 인입선에서 분기하여 지지물을 거치지 아니하고 다른 수용 장소의 인입구에 이르는 부분은?	연접 인입선	한 수용 장소에서 분기하여 다른 수용 장소 인입구에 이르는 전선은 연접 인입선이다.
23:48	62	전기설비	전선로의 지선에 사용되는 애자는?	구형 애자	지선에 사용되는 애자는 구형 애자이다.
23:53	63	전기설비	절연 전선으로 가선된 배선 설로에서 활선 상태인 경우 전선의 피복을 벗기는 공구는?	전선 피박기	활선 상태에서 전선의 피복을 벗기는 공구는 전선 피박기이다.
24:05:00	64	전기설비	저압 가공 인입선에 인입구에 사용하며 금속관 공사에서 끝부분에 빗물 침입 방지에 적당한 것은?	엔트런스 캡	저압 가공 인입선 인입구에 사용되며 빗물 침입을 방지하는 것은 엔트런스 캡이다.
24:13:00	65	전기설비	금속관 공사 시 관을 접지하는데 사용하는 것은?	접지 클램프	금속관 공사 시 관을 접지할 때 사용하는 것은 접지 클램프이다.
24:18:00	66	전기설비	폭연성 분진 또는 화약류. 분말이 전기 설비가 바라원이 되어 폭발할 우려가 있는 곳의 저압 옥내 배선 공사에 적합한 것은?	금속관 공사, 케이블 공사	폭연성 분진, 화약류 분말 위험 장소에는 금속관 공사와 케이블 공사 (금쾌)가 적합하다.
24:42:00	67	전기설비	금속 전선관을 구부릴 때 금속관 단면이 심하게 변형되지 않도록 구부려야 되는데 일반적으로 그 안쪽 반지름은 관 안지름의 몇 배 이상인가?	여섯 배	금속관을 구부릴 때 안쪽 반지름은 관 안지름의 6배 이상이다.
25:03:00	68	전기설비	진동이 심한 전기 기계 기구 전선 접속 시 사용하는 것은?	스프링 와셔	진동이 심한 기계 기구의 전선 접속 시 스프링 와셔를 사용한다.
25:15:00	69	전기설비	연피 케이블을 직접 매설식에 의하여 차량 기타 중량물에 압력을 받을 우려가 있는 장소에 시설하는 경우 매설 깊이는?	1m	연피 케이블 직접 매설식에서 차량/중량물 압력 우려가 있는 장소의 매설 깊이는 1m 이상이다. (그 외는 0.6m)
25:35:00	70	전기설비	가요 전선관과 금속관 상호 접속에 사용되는 것은?	콤비네이션 커플링	가요 전선관과 금속관을 상호 접속할 때 콤비네이션 커플링 (가금 콤비)을 사용한다.
25:42:00	71	전기설비	합성 수지관을 새들 등으로 지지하는 경우 그 지지점간 거리는?	1.5m	합성 수지관 공사 시 지지점간 거리는 1.5m 이하이다.
25:48:00	72	전기기기	배전용 기구인 COS (컷아웃 스위치)의 용도는?	배전용 변압기의 1차측에 시설해서 변압기의 단락 보호용으로 쓰이는 것	COS는 배전용 변압기 1차측에 시설하여 단락 보호용으로 사용된다. (2차측은 캐치 홀더)
26:12:00	73	전기설비	전선의 굵기 측정에 사용되는 것은?	와이어 게이지	전선의 굵기 측정에는 와이어 게이지를 사용한다.
26:22:00	74	전기설비	가연성 가스가 세거나 체류하여 전기 설비가 바라원이 되어 폭발할 우려가 있는 곳에 시설하는 저압 옥내 배선 공사에 적합한 것은?	금속관 공사, 케이블 공사	가연성 가스 폭발 우려가 있는 곳은 금속관 공사와 케이블 공사 (금쾌)가 적합하다.
26:34:00	75	전기기기	다음 중 교류 차단기의 단선도 심벌은?	단선에 동그라미에 아무것도 칠해져 있지 않은 심벌	교류 차단기 단선도 심벌은 동그라미에 아무것도 칠해져 있지 않은 형태이다. (칠해져 있으면 개폐기)
26:45:00	76	전기설비	애자 사용 공사에 의한 저압 옥내 배선에서 일반적으로 전선 상호간 간격은?	6cm 이상	애자 사용 공사 저압 옥내 배선 전선 상호간 간격은 6cm 이상이다.
26:52:00	77	전기설비	16mm 금속 전선관 나사 내기를 할 때 반직각으로 구부리기를 한 곳에 나사 산 수는 몇 산 정도로 하는가?	3~4산	금속 전선관 나사 내기 시 반직각 구부리기의 나사산 수는 3~4산 정도이다.
27:09:00	78	전기설비	가정용 전등에 사용되는 전멸 스위치를 설치해야 될 위치에 대한 설명으로 가장 적당한 것은?	전압측 전선에 설치	전등 전멸 스위치는 전압측 전선에 설치해야 한다.
27:19:00	79	전기기기	수전 전력 500kW 이상인 고압의 수전 설비의 인입구에 낭뇌나 혼촉 사고에 의한 이상 전압으로부터 설로와 기기를 보호할 목적으로 시설하는 것은?	피뢰기 (LA)	**낙뢰(낭뇌)**나 혼촉 사고에 의한 이상 전압으로부터 보호하는 목적으로 시설하는 것은 피뢰기이다.
27:40:00	80	전기설비	박스에 금속관 고정에는 무엇을 사용하는가?	로크너트	박스에 금속관을 고정할 때 로크너트를 사용한다.
27:45:00	81	전기기기	주상 변압기의 1차측 보호 장치로 사용하는 것은?	컷아웃 스위치 (COS)	주상 변압기 1차측 보호 장치는 **컷아웃 스위치 (COS)**이다. (2차측은 캐치 홀더)
28:02:00	82	전기설비	저압 옥외 전기 설비 (옥측의 것을 포함해서) 내염 공사 설명 시 잘못된 것은?	계량기함을 금속제로 사용한다.	내염 공사 (소금기에 견딤)에서는 금속제는 부식되므로 계량기함을 금속제로 사용하면 안 된다.
28:25:00	83	전기설비	인류하거나 분기하는 곳에서 사용하는 애자는?	현수 애자	인류하거나 분기하는 곳에 주로 사용하는 애자는 현수 애자이다.
28:35:00	84	전기기기	다음 중 저압 개폐기를 생략해도 좋은 개소는?	퓨즈의 전원측으로부터 분기로용 과전류 차단기 이후의 퓨즈가 플러그 퓨즈와 같이 퓨즈 교환 시 충전부에 접촉될 우려가 없을 경우	퓨즈 교환 시 충전부에 접촉될 우려가 없어 위험성이 적을 경우 저압 개폐기를 생략해도 좋다.
29:02:00	85	전기설비	그림과 같은 기호 명칭은? (긴 실선 심벌)	천장 은폐 배선	긴 실선은 천장 은폐 배선을 나타낸다.
29:13:00	86	전기설비	가공 인입선 중 수용 장소의 인입선에서 분기해서 다른 수용 장소의 인입구에 이르는 전선은?	연접 인입선	한 수용 장소에서 분기하여 다른 수용 장소 인입구에 이르는 전선은 연접 인입선이다.
29:25:00	87	전기기기	변전소에서 사용되는 주요 기기로 ABB는 무엇을 의미하는가?	공기 차단기 (Air Blast Circuit Breaker)	ABB는 **공기 차단기 (Air Blast Circuit Breaker)**를 의미하며, 압축 공기로 아크를 소호한다.
29:43:00	88	전기이론	부하의 한 시간 평균 전력을 최대 수용 전력으로 나눈 값은?	부하율	부하율은 (평균 전력 / 최대 수용 전력) × 100이다. 통상 'OO율'은 분자에 있는 이름(평균 전력)을 딴다.
29:50:00	89	전기설비	수변전 설비의 인입구 개폐기로 많이 사용되며, 전력 퓨즈 용단 시 결상을 방지하는 목적으로 사용되는 것은?	부하 개폐기 (LS)	**부하 개폐기 (Load Switch, LS)**는 수변전 설비의 인입구 개폐기 및 퓨즈 용단 시 결상 방지 목적으로 사용된다.
30:10:00	90	전기설비	철근 콘크리트 주 길이가 14m이고 설계 하중이 9.8kN일 때, 땅에 묻히는 표준 깊이는?	2.7m (2.63m)	전주 길이 $L \le 15\text{m}$이고 설계 하중이 9.8kN 이하일 때 매설 깊이는 $(L/6) + 0.3\text{m}$이다. $14\text{m}$이므로 (14/6)+0.3≈2.33+0.3=2.63m. 가장 가까운 2.7m를 답한다.
30:16:00	91	전기설비	옥내 배선의 박스 접속함 내에서 가는 전선을 접속할 때 주로 어떤 방법을 사용하는가?	쥐꼬리 접속	박스함 내에서는 공간이 협소하여 가는 전선 접속 시 쥐꼬리 접속을 사용한다.
30:32:00	92	전기기기	가스 절연 개폐기(GIS)나 가스 차단기에 사용되는 SF6​ (육불화황)의 성질이 아닌 것은?	절연 내력이 낮다 (공기의 25배 정도로 절연 내력이 낮다)	육불화황(SF6​)은 공기보다 절연 내력이 훨씬 높다 (공기의 2.3~3.7배). '절연 내력이 낮다'는 설명은 틀렸다.
31:01:00	93	전기설비	금속관 공사에서 금속 전선관에 나사(산)를 낼 때 사용하는 공구는?	오스터 (Oster)	금속 전선관에 나사(산)를 내는 공구는 오스터이다.
31:35:00	94	전기설비	폭발성 분진이 있는 곳에 전기 기계 기구를 접속 시 몇 턱(turn) 이상 나사조임을 해야 하는가?	5턱 (5turn)	폭발성 분진, 화약류 분말 등이 존재하는 곳의 전기 기계 기구 접속은 5턱 이상 나사조임으로 해야 한다 (파이브 턱).
31:44:00	95	전기설비	1종 가요 전선관을 구부릴 때 곡률 반지름은 관 안지름의 몇 배 이상으로 해야 하는가?	6배 이상	1종 가요 전선관 구부릴 때 곡률 반지름 R은 관 안지름 D의 6배 이상이다 (6가요 1종).
31:55:00	96	전기설비	셀룰로이드, 성냥, 석유류 등 가연성 물질 제조·저장 장소의 배선 방법으로 옳지 않은 것은?	방습형 플렉시블 배선 공사	가연성 물질 제조·저장 장소의 배선은 합금캐 (합성수지관, 금속관, 케이블 공사)가 적당하며, 방습형 플렉시블 배선 공사는 적합하지 않다.
32:11:00	97	전기설비	2종 금속 몰드의 구성 부품에서 조인트 금속 부품이 아닌 것은?	노멀 밴드형	몰드 조인트 금속 부품은 **L형, T형, 크로스형 (L티크)**이며, 노멀 밴드형은 아니다.
32:27:00	98	전기설비	합성 수지관을 새들 등으로 지지하는 경우 지지점 간 거리는 몇 미터 이하여야 하는가?	1.5m	합성 수지관의 지지점 간 거리는 1.5m 이하여야 한다.
32:34:00	99	전기설비	동전선의 접속 방법 중 직선 접속에 해당하는 것은?	직선 맞대기용 슬리브 $\text{B}$에 의한 압착 접속	동전선의 직선 접속에는 직선 맞대기용 슬리브 $\text{B}$에 의한 압착 접속과 6$\text{mm}^2$ 이하의 가는 단선의 트위스트 접속이 있다.
32:53:00	100	전기이론	두 개의 입력 가운데 앞서 동작한 쪽이 우선하고 다른 쪽은 동작을 금지시키는 회로는?	인터록 회로 (Interlock Circuit)	인터록 회로는 기기 보호 및 안전을 목적으로 앞서 동작한 쪽을 우선하고 다른 쪽은 동작 금지시키는 회로이다.
33:04:00	101	전기설비	교류 전등 공사에서 금속관 내에 전선을 넣어 연결한 방법으로 옳은 것은?	하나의 금속관에 모든 전선을 넣는 방법	교류 전등 공사에서 금속관 내 전선 연결은 하나의 금속관에 인입선과 인출선을 모두 넣어야 한다 (전선이 분리되지 않도록).
33:18:00	102	전기설비	흥행장(공연장) 저압 공사에서 잘못된 것은?	무대 마루 밑에 전용 개폐기 및 과전류 차단기를 시설할 필요가 없다.	무대 마루 밑, 오케스트라 박스, 영사실 전로에는 반드시 전용 개폐기 및 과전류 차단기를 시설해야 한다.
33:38:00	103	전기설비	그림과 같은 심벌 $\text{MD}$의 명칭은?	메탈 덕트 (Metal Duct)	**MD**는 메탈 덕트 (Metal Duct), 즉 금속 덕트의 약자이다.
33:55:00	104	전기설비	옥내 배선의 접속함이나 박스 내에서 접속할 때 주로 어떤 방법을 사용하는가?	쥐꼬리 접속	접속함이나 박스 내 접속은 쥐꼬리 접속을 사용한다.
34:07:00	105	전기설비	$\text{MF}$는 무엇의 약호인가?	전력 수급용 계기용 변성기 (Metering Outfit)	**MF**는 **미터링 아웃핏 (Metering Outfit)**의 약자로, 전력 수급용 계기용 변성기를 뜻한다.
34:19:00	106	전기설비	각 수용가의 최대 수용 전력이 5, 10, 15, 22$\text{kW}이고,합성최대수용전력이50\text{kW}$일 때, 수용가 상호간의 부등률은?	1.04	부등률은 각퍼합 (각 최대 수용 전력의 합 / 합성 최대 수용 전력)이다. (5+10+15+22)kW/50kW=52/50=1.04.
34:43:00	107	전기설비	박스에 금속 전선관을 고정시키기 위해 사용하는 것은?	로크너트 (Lock Nut)	금속 전선관을 박스에 고정(결속)시키는 데 사용하는 부품은 로크너트이다.
34:48:00	108	전기설비	가공 전설로의 지지물에 시설하는 지선의 안전율은?	2.5 이상	지선의 안전율은 2.5 이상이다.
34:54:00	109	전기설비	어미자와 아들자 눈금을 이용하여 두께, 깊이, 안지름, 바깥지름 등을 측정하는 공구는?	버니어 캘리퍼스 (Vernier Calipers)	어미자와 아들자 눈금을 이용해 정밀한 치수를 측정하는 공구는 버니어 캘리퍼스이다.
35:05:00	110	전기설비	천장 은폐 배선을 나타내는 심벌은?	실선 (긴 점선)	천장 은폐 배선은 긴 점선 (실선)으로 표시한다. 짧은 점선은 노출 배선, 굵은 점선은 바닥 은폐 배선이다.
35:09:00	111	전기설비	까만색 동그라미 안에 불꽃 모양이 있는 심벌의 명칭은?	비상용 조명 등	까만색 동그라미 중간에 불꽃 모양 심벌은 비상용 조명 등이다.
35:16:00	112	전기설비	다음 중 전선 및 케이블 접속 방법이 잘못된 것은?	전선의 세기를 30% 이상 감소시키지 말아야 한다.	전선 및 케이블 접속 시 전선의 세기는 20% 이상 감소시키지 않아야 한다. 30%는 틀린 규정이다.
35:28:00	113	전기설비	부식성 가스 등이 있는 장소에 시설이 허용되는 것은?	전등	부식성 가스가 있는 장소에서는 전등의 설치는 허용되지만, 전류를 차단·연결하는 과전류 차단기, 콘센트, 개폐기는 허용되지 않는다.
35:41:00	114	전기설비	가공 전설로의 지지물에 지선을 사용해서는 안 되는 것은?	철탑	철탑은 자체 강도가 높으므로 지선을 사용하여 강도를 분담시키지 않는다. (목주, 철주, 철근 콘크리트 주는 지선 설치 가능)
